file_name,#timeframe,#clause,#total_calls,#ctg,result,time
nusmvreactorp4.aig,35,678,|26,797|,1599,HOLDS,2.56
nusmvreactorp5.aig,1,0,5,0,HOLDS,0.02
nusmvreactorp6.aig,145,8188,|700,327|,54204,HOLDS,80.37
nusmvsyncarb10p2.aig,11,55,|1,233|,90,HOLDS,0.02
nusmvtcasp2.aig,19,850,|37,728|,3152,HOLDS,7.72
nusmvtcastp3.aig,17,11384,|889,576|,101772,HOLDS,192.91
oski15a01b00s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b01s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b02s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b03s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b04s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b05s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b06s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b07s.aig,1,0,5,0,FAILED,6.55
oski15a01b08s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b09s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b10s.aig,1,0,5,0,HOLDS,6.00
oski15a01b11s.aig,1,0,5,0,HOLDS,5.94
oski15a01b12s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b13s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b14s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b15s.aig,1,0,5,0,FAILED,6.54
oski15a01b16s.aig,1,0,5,0,HOLDS,6.02
oski15a01b17s.aig,1,0,5,0,FAILED,5.76
oski15a01b18s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b19s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b20s.aig,1,0,5,0,HOLDS,7.21
oski15a01b21s.aig,1,0,5,0,FAILED,6.54
oski15a01b22s.aig,1,0,5,0,HOLDS,7.10
oski15a01b23s.aig,1,0,5,0,FAILED,6.54
oski15a01b24s.aig,1,0,5,0,HOLDS,7.15
oski15a01b25s.aig,1,0,5,0,FAILED,6.48
oski15a01b26s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b27s.aig,1,0,5,0,FAILED,6.53
oski15a01b28s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b29s.aig,1,0,5,0,FAILED,6.51
oski15a01b30s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b31s.aig,1,0,5,0,FAILED,6.43
oski15a01b32s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b33s.aig,1,0,5,0,FAILED,6.55
oski15a01b34s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b35s.aig,1,0,5,0,FAILED,6.45
oski15a01b36s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b37s.aig,1,0,5,0,FAILED,6.42
oski15a01b38s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b39s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b40s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b41s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b42s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b43s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b44s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b45s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b46s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b47s.aig,1,0,5,0,FAILED,6.54
oski15a01b48s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b49s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b50s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b51s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b52s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b53s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b54s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b55s.aig,1,0,5,0,FAILED,6.52
oski15a01b56s.aig,1,0,5,0,HOLDS,5.99
oski15a01b57s.aig,1,0,5,0,FAILED,5.72
oski15a01b58s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b59s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b60s.aig,NA,NA,NA,NA,NA,timeout
oski15a01b61s.aig,1,0,5,0,FAILED,6.54
oski15a01b62s.aig,NA,NA,NA,NA,NA,timeout
